"시점","구분(1)",구분(2),데이터
"2013.05","전라남도",도평균,52
"2013.05","경상북도",도평균,61
"2013.05","경상남도",도평균,58
"2013.05","제주특별자치도",도평균,53
"2013.06","서울특별시",서울특별시,40
"2013.06","대구광역시",대구광역시,44
"2013.06","인천광역시",인천광역시,48
"2013.06","광주광역시",광주광역시,42
"2013.06","대전광역시",대전광역시,40
"2013.06","울산광역시",울산광역시,49
"2013.06","경기도",도평균,52
"2013.06","강원도",도평균,41
"2013.06","충청북도",도평균,47
"2013.06","충청남도",도평균,39
"2013.06","전라북도",도평균,50
"2013.06","전라남도",도평균,35
"2013.06","경상북도",도평균,47
"2013.06","경상남도",도평균,44
"2013.06","제주특별자치도",도평균,33
"2013.07","서울특별시",서울특별시,34
"2013.07","대구광역시",대구광역시,32
"2013.07","인천광역시",인천광역시,39
"2013.07","광주광역시",광주광역시,33
"2013.07","대전광역시",대전광역시,28
"2013.07","울산광역시",울산광역시,44
"2013.07","경기도",도평균,42
"2013.07","강원도",도평균,36
"2013.07","충청북도",도평균,33
"2013.07","충청남도",도평균,30
"2013.07","전라북도",도평균,33
"2013.07","전라남도",도평균,34
"2013.07","경상북도",도평균,39
"2013.07","경상남도",도평균,37
"2013.07","제주특별자치도",도평균,28
"2013.08","서울특별시",서울특별시,35
"2013.08","대구광역시",대구광역시,39
"2013.08","인천광역시",인천광역시,40
"2013.08","광주광역시",광주광역시,32
"2013.08","대전광역시",대전광역시,28
"2013.08","울산광역시",울산광역시,49
"2013.08","경기도",도평균,44
"2013.08","강원도",도평균,39
"2013.08","충청북도",도평균,36
"2013.08","충청남도",도평균,33
"2013.08","전라북도",도평균,33
"2013.08","전라남도",도평균,34
"2013.08","경상북도",도평균,42
"2013.08","경상남도",도평균,44
"2013.08","제주특별자치도",도평균,32
"2013.09","서울특별시",서울특별시,28
"2013.09","대구광역시",대구광역시,31
"2013.09","인천광역시",인천광역시,35
"2013.09","광주광역시",광주광역시,33
"2013.09","대전광역시",대전광역시,29
"2013.09","울산광역시",울산광역시,32
"2013.09","경기도",도평균,37
"2013.09","강원도",도평균,31
"2013.09","충청북도",도평균,34
"2013.09","충청남도",도평균,31
"2013.09","전라북도",도평균,38
"2013.09","전라남도",도평균,29
"2013.09","경상북도",도평균,35
"2013.09","경상남도",도평균,34
"2013.09","제주특별자치도",도평균,33
"2013.10","서울특별시",서울특별시,29
"2013.10","대구광역시",대구광역시,35
"2013.10","인천광역시",인천광역시,36
"2013.10","광주광역시",광주광역시,32
"2013.10","대전광역시",대전광역시,30
"2013.10","울산광역시",울산광역시,36
"2013.10","경기도",도평균,38
"2013.10","강원도",도평균,34
"2013.10","충청북도",도평균,39
"2013.10","충청남도",도평균,32
"2013.10","전라북도",도평균,40
"2013.10","전라남도",도평균,29
"2013.10","경상북도",도평균,38
"2013.10","경상남도",도평균,38
"2013.10","제주특별자치도",도평균,38
"2013.11","서울특별시",서울특별시,42
"2013.11","대구광역시",대구광역시,42
"2013.11","인천광역시",인천광역시,46
"2013.11","광주광역시",광주광역시,39
"2013.11","대전광역시",대전광역시,39
"2013.11","울산광역시",울산광역시,41
"2013.11","경기도",도평균,52
"2013.11","강원도",도평균,47
"2013.11","충청북도",도평균,53
"2013.11","충청남도",도평균,39
"2013.11","전라북도",도평균,48
"2013.11","전라남도",도평균,34
"2013.11","경상북도",도평균,47
"2013.11","경상남도",도평균,45
"2013.11","제주특별자치도",도평균,49
"2013.12","서울특별시",서울특별시,55
"2013.12","대구광역시",대구광역시,48
"2013.12","인천광역시",인천광역시,55
"2013.12","광주광역시",광주광역시,42
"2013.12","대전광역시",대전광역시,46
"2013.12","울산광역시",울산광역시,45
"2013.12","경기도",도평균,65
"2013.12","강원도",도평균,65
"2013.12","충청북도",도평균,63
"2013.12","충청남도",도평균,44
"2013.12","전라북도",도평균,54
"2013.12","전라남도",도평균,38
"2013.12","경상북도",도평균,55
"2013.12","경상남도",도평균,50
"2013.12","제주특별자치도",도평균,45
"2014.01","서울특별시",서울특별시,57
"2014.01","대구광역시",대구광역시,60
"2014.01","인천광역시",인천광역시,58
"2014.01","광주광역시",광주광역시,52
"2014.01","대전광역시",대전광역시,56
"2014.01","울산광역시",울산광역시,55
"2014.01","경기도",도평균,68
"2014.01","강원도",도평균,66
"2014.01","충청북도",도평균,75
"2014.01","충청남도",도평균,52
"2014.01","전라북도",도평균,66
"2014.01","전라남도",도평균,51
"2014.01","경상북도",도평균,65
"2014.01","경상남도",도평균,64
"2014.01","제주특별자치도",도평균,56
"2014.02","서울특별시",서울특별시,57
"2014.02","대구광역시",대구광역시,50
"2014.02","인천광역시",인천광역시,58
"2014.02","광주광역시",광주광역시,46
"2014.02","대전광역시",대전광역시,51
"2014.02","울산광역시",울산광역시,45
"2014.02","경기도",도평균,67
"2014.02","강원도",도평균,60
"2014.02","충청북도",도평균,65
"2014.02","충청남도",도평균,54
"2014.02","전라북도",도평균,67
"2014.02","전라남도",도평균,42
"2014.02","경상북도",도평균,55
"2014.02","경상남도",도평균,52
"2014.02","제주특별자치도",도평균,46
"2014.03","서울특별시",서울특별시,60
"2014.03","대구광역시",대구광역시,50
"2014.03","인천광역시",인천광역시,58
"2014.03","광주광역시",광주광역시,49
"2014.03","대전광역시",대전광역시,50
"2014.03","울산광역시",울산광역시,49
"2014.03","경기도",도평균,68
"2014.03","강원도",도평균,68
"2014.03","충청북도",도평균,67
